well_name,swn,site_code,mgmt_area_full,mgmt_area,well_depth,is_2022_gwl_rms,is_2026_gwl_rms,is_2026_isw_rms,well_use,well_type,basin,wcr_no,latitude,longitude,monitor_freq,multi_completion,gse,rpe,screen_intervals,tag_notes,mt_ft,mo_ft,im_2027_ft
21N01E10B003M,21N01E10B003M,396963N1218486W001,03-Vina-South,South,525.0,False,True,False,Irrigation,Single Well,Vina,13929,39.6963,-121.8486,Quarterly,False,170.33,170.73,320-360; 367-407; 483-503,,,,
21N01E12D001M,21N01E12D001M,396932N1218231W001,03-Vina-South,South,600.0,False,False,False,Irrigation,Single Well,Vina,2676,39.69322,-121.82313,Quarterly,False,187.33,188.03,50-150,,,,
21N01E12K001M,21N01E12K001M,396892N1218121W001,03-Vina-South,South,465.0,False,False,False,Irrigation,Single Well,Vina,48510,39.6892,-121.8121,Quarterly,False,189.33,189.83,,,,,
21N01E13F001M,21N01E13F001M,396769N1218157W001,03-Vina-South,South,515.0,False,False,False,Irrigation,Single Well,Vina,126426,39.67685,-121.81567,Quarterly,False,177.33,177.53,93-204,,,,
21N01E13L002M,21N01E13L002M,396735N1218144W001,03-Vina-South,South,771.0,False,False,False,Observation,Part of a nested/multi-completion well,Vina,WCR2010-008893,39.67348,-121.8144,Hourly,True,179.85,181.9,735-760,,,,
21N01E13L003M,21N01E13L003M,396735N1218144W002,03-Vina-South,South,574.0,False,False,False,Observation,Part of a nested/multi-completion well,Vina,WCR2010-008893,39.67348,-121.8144,Hourly,True,179.85,181.99,540-560,,,,
21N01E13L004M,21N01E13L004M,396735N1218144W003,03-Vina-South,South,353.0,False,True,False,Observation,Part of a nested/multi-completion well,Vina,WCR2010-008893,39.67348,-121.8144,Hourly,True,179.85,182.06,240-340,,,,
21N01E14Q002M,21N01E14Q002M,396691N1218298W001,03-Vina-South,South,290.0,False,False,False,Irrigation,Single Well,Vina,265035,39.6691,-121.8298,Quarterly,False,167.13,167.63,,,,,
21N01E25K001M,21N01E25K001M,396420N1218128W001,03-Vina-South,South,93.0,False,False,False,Residential,Single Well,Vina,211789,39.642,-121.8128,Quarterly,False,154.33,156.53,,,,,
21N01E26K001M,21N01E26K001M,396454N1218313W001,03-Vina-South,South,462.0,False,False,False,Irrigation,Single Well,Vina,76269,39.6454,-121.8313,Quarterly,False,152.84,153.84,406-422,,,,
21N01E27B001M,21N01E27B001M,396528N1218526W001,03-Vina-South,South,517.0,False,False,False,Irrigation,Single Well,Vina,,39.6528,-121.8526,Quarterly,False,149.34,150.34,24-517,,,,
21N01E27D001M,21N01E27D001M,396511N1218607W001,03-Vina-South,South,112.0,False,True,False,Residential,Single Well,Vina,,39.6511,-121.8607,Quarterly,False,143.34,144.94,,,,,
21N01E28F001M,21N01E28F001M,396490N1218726W001,03-Vina-South,South,173.0,False,False,False,Irrigation,Single Well,Vina,,39.649,-121.8726,Quarterly,False,142.35,144.25,,,,,
21N02E18C001M,21N02E18C001M,396820N1217970W001,03-Vina-South,South,914.0,False,False,False,Observation,Part of a nested/multi-completion well,Vina,WCR2010-008171,39.682,-121.797,Hourly,True,189.07,191.56,770-780; 800-810; 830-840; 870-880,,,,
21N02E18C002M,21N02E18C002M,396820N1217970W002,03-Vina-South,South,701.0,False,False,False,Observation,Part of a nested/multi-completion well,Vina,WCR2010-008171,39.682,-121.797,Hourly,True,189.07,191.42,360-370; 480-500; 610-620,,,,
21N02E20P001M,21N02E20P001M,396568N1217818W001,03-Vina-South,South,238.0,False,False,False,Irrigation,Single Well,Vina,141490,39.6568,-121.7818,Quarterly,False,168.13,169.33,100-238,,,,
21N02E26E003M,21N02E26E003M,396468N1217263W001,03-Vina-South,South,660.0,False,False,False,Observation,Part of a nested/multi-completion well,Vina,WCR2007-008015,39.6468,-121.7263,Hourly,True,182.27,184.97,610-620,,,,
21N02E26E004M,21N02E26E004M,396468N1217263W002,03-Vina-South,South,518.0,False,False,False,Observation,Part of a nested/multi-completion well,Vina,WCR2007-008015,39.6468,-121.7263,Hourly,True,182.26,184.68,400-410; 430-440; 474-484,,,,
21N02E26E006M,21N02E26E006M,396468N1217263W004,03-Vina-South,South,179.0,False,True,False,Observation,Part of a nested/multi-completion well,Vina,WCR2007-008015,39.6468,-121.7263,Hourly,True,182.26,184.28,105-115; 140-150,,,,
21N02E30L001M,21N02E30L001M,396422N1217994W001,03-Vina-South,South,317.0,False,True,False,Residential,Single Well,Vina,2926,39.6422,-121.7994,Hourly,False,159.33,160.28,100-317,,,,
21N02E32E001M,21N02E32E001M,396339N1217845W001,03-Vina-South,South,184.0,False,False,True,Irrigation,Single Well,Vina,211714,39.63383,-121.78447,Quarterly,False,157.33,158.13,62-92,,,,
21N03E22C001M,21N03E22C001M,396653N1216299W001,03-Vina-South,South,123.0,False,False,False,Residential,Single Well,,114311X,39.66534,-121.62996,Quarterly,False,382.37,384.87,,,,,
21N03E29J003M,21N03E29J003M,396454N1216588W001,03-Vina-South,South,515.0,False,True,False,Residential,Single Well,Vina,124543,39.6454,-121.6588,Quarterly,False,274.34,275.94,120-160; 180-240; 260-270; 286-350,,,,
21N03E32B001M,21N03E32B001M,396396N1216634W001,03-Vina-South,South,57.0,False,False,True,Irrigation,Single Well,Vina,,39.63958,-121.66338,Hourly,False,238.43,242.33,13-57,,,,
